,product,level_1,level_2,target,,,
2911,Váy xanh hoa nhí tay chun bèo ngực,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
3331,Set váy: Áo dải dọc hồng + VC von hoa (5-13),Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
3391,Váy lụa 4062,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
3831,Váy dài kẻ caro,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
3891,ĐẦM LỤA HOA HỌA TIẾT CỔ SƠ MI,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
4131,váy thiết kế umi cổ tm,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
4211,"Váy HH ZARA, họa tiết hoa nhí chấm trắng lá xanh, 2 dây bèo, nơ buộc ngực, cúp ngực,bèo ngực và đuôi, khóa sau, vàng M",Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
4231,Váy nữ lụa màu 518 240PY,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
4631,ĐẦM THIẾT KẾ 3 MÀU,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
4691,Đầm lụa tơ tằm,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
5051,Đầm ôm khoét cổ07,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
5391,Váy voan đuôi cá HN,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
5451,Đầm XECOP rút dây,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
5691,Váy Wenesday,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
5791,Đ bẹt vai,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
6391,Đầm somi Bepop,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
6811,váy sn cúp hoa eo,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
7671,Đầm BBĐ 2 lớp ren cổ tim cột dây- trắng trơn,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
7691,15M03 đầm sơ mi phối lưới cc hồng/xanh,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
7731,Váy xuông cổ+tay đá,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
7971,Đầm Burin có tay,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
8071,Đầm kiểu nữ NT P8276 màu đậm size S,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
8231,đầm cherry bèo ngực,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
8471,Đầm sơmi ASOS caro,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,,
7091,Dầu gội Pantene BO 3 gội xả ủ,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
9031,DẦU GỘI SUNSILK ÓNG MƯỢT 320G,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
10071,Clear men beer mát lạnh 5g,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
10111,DẦU GỘI LIFEBUOY XANH DÂY 12G,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
10591,dầu gội panten 300g ngăn rụng tóc,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
10791,dầu gội dove phục hồi 650g tặng khăn,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
11231,Dove gội 6g,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
15271,Bộ gội xả HS Nhật Bản,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
15831,Dầu gội Pantene Ngăn rụng tóc 300g,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
16951,Dau xa han phuong,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,,
11991,dép bitis bioren catha,Thời trang - Phụ kiện,"Giày, dép nam",Dép nam,,,
13191,Iphone X Silver 64G 801962 AH,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
13271,IP7P ĐEN 32GB 99% ( J/A ),Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
13431,Iphone 5S cáp wifi,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
13551,IP7 TRẮNG,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
13591,iphone 8 plus 64gb fullbox fpt,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
13711,8pl64g vàng,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
13811,8p64 5/8,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
14051,Iphone 8 Plus Gold 64G 99% 246563,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
14131,Máy 6P 64Gb vàng_01086,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
14191,IP7P TRẮNG 128GB ( LL/A ) New 100% Chưa active CPO,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
14291,iphone 7 plus 128 Trắng 98%,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
14371,iPhone-7Plus-Lock-97%-Silver-32GB-05009,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
14111,Samsung j2pr0 25600 đen,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,,
4271,Q tất bầu IV155,Thời trang - Phụ kiện,Thời trang nữ,Quần legging nữ,,,
711,ĐỒ BƠI LIỀN SIÊU NHÂN,Thời trang - Phụ kiện,Thời trang nam,Đồ bơi nam,,,
6631,Lẻ áo bơi bèo ống vàng,Thời trang - Phụ kiện,Thời trang nữ,Đồ bơi nữ,,,
7471,Bộ bơi liền mảnh ren chấm bi - Cam đất sz L,Thời trang - Phụ kiện,Thời trang nữ,Đồ bơi nữ,,,
15031,BN - Đồ bơi liền - màu hồng nhạt,Thời trang - Phụ kiện,Thời trang nữ,Đồ bơi nữ,,,
19311,Đèn mâm tròn 8012 / 600,Đồ gia dụng,Thiết bị chiếu sáng,Bóng đèn,,,
19331,Bóng đèn led bulb công suất cao Duhal 30W,Đồ gia dụng,Thiết bị chiếu sáng,Bóng đèn,,,
12151,Mũ tắm và ủ tóc Family,Đồ gia dụng,Đồ dùng nhà tắm,Đồ dùng nhà tắm khác,,,
12911,nước lau bếp Care 580ml,Đồ gia dụng,Đồ dùng phòng bếp,Đồ dùng phòng bếp khác,,,
5991,Quần sịp Aristino ABF16-16 size M,Thời trang - Phụ kiện,Thời trang nam,"Đồ lót, đồ ngủ nam",,,
4931,Bộ ngủ cổ đen mặt thỏ ngọc hồng M (DBO) 18708,Thời trang - Phụ kiện,Thời trang nữ,Đồ ngủ nữ,,,
6411,Đầm ngủ Lụa Dài - Hồng,Thời trang - Phụ kiện,Thời trang nữ,Đồ ngủ nữ,,,
6591,Bộ pizama lụa hoạ tiết mác J&Y,Thời trang - Phụ kiện,Thời trang nữ,Đồ ngủ nữ,,,
8691,Nước Fanta (tím),Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống có gas,,,
9831,Nước giải khát Coca- cola 390ml,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống có gas,,,
10751,"Mirinda Saxi 1,5 L",Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống có gas,,,
9331,CỐT DỪA TO ( 24C/ THÙNG),Thực phẩm - Đồ uống,Gia vị,Gia vị dạng nước,,,
471,nuoc nho nha dam,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,,
9891,IC Đào Lớn,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,,
11771,Thùng nước lavie 0.5ml,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,,
16291,Aquafina chai,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,,
5471,QGV dạ 3 cúc đuôi cá,Thời trang - Phụ kiện,Thời trang nam,Đồ vest nam,,,
3791,Đồng Hồ Chính Hãng RoyalCrown 6116ST,Thời trang - Phụ kiện,"Đồng hồ, mắt kính",Đồng hồ nam,,,
13391,Rolex 116231 Mop,Thời trang - Phụ kiện,"Đồng hồ, mắt kính",Đồng hồ nam,,,
11611,BỘ THÌA ĐŨA CÔNG SỞ,Đồ gia dụng,Đồ dùng phòng ăn,"Đũa, muỗng, nĩa",,,
15411,Xit con trung,Đồ gia dụng,"Dụng cụ diệt chuột, côn trùng",Dụng cụ diệt côn trùng khác,,,
3671,Ủ Tóc LAE SA LUAY thái,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dưỡng tóc, ủ tóc",,,
9531,Chổi mini 25,Đồ gia dụng,Dụng cụ vệ sinh nhà cửa,"Chổi quét nhà, lau nhà",,,
16491,Nước rửa chén bát,Đồ gia dụng,Đồ dùng phòng bếp,Nước rửa chén,,,
12231,DDVS LACTACYD XANH LÁ ( NHỎ),Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Dung dịch vệ sinh nam nữ,,,
17311,"Dạ hương, Lọ 100ml, Hoa Linh",Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Dung dịch vệ sinh nam nữ,,,
16251,Nature republic aloe vera 92%(300ml),Sức khỏe - Làm đẹp,Chăm sóc da,Dưỡng ẩm,,,
331,BAO TAY MÀU,Thời trang - Phụ kiện,Phụ kiện nữ,"Găng tay, bao tay nữ",,,
9211,Tieu Den Xay,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,,
11411,Nêm Knor 900g KM Bát,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,,
12431,Muối hạt biển xanh 1kg,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,,
12571,Knorr vi ga 300g,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,,
18731,Hạt nêm NEPTUNE vị heo 380g,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,,
11431,Syrup Đào Wing (can 2.5kg),Thực phẩm - Đồ uống,Đồ uống - Pha chế,Siro pha chế,,,
15991,Giày MK búp bê,Thời trang - Phụ kiện,Giày dép nữ,Giày búp bê,,,
5431,Giày thể thao vàng Love You 14cm,Thời trang - Phụ kiện,Giày dép nữ,Giày sneakers nữ,,,
7651,Giày cao gót đen đính đá HÀNG NHẬP,Thời trang - Phụ kiện,Giày dép nữ,Giày cao gót,,,
1971,Bệt nhựa trong nơ - Đen 37,Thời trang - Phụ kiện,Giày dép nữ,Giày búp bê,,,
12371,KHUÔN SILICON GIÀY BÉ GÁI,Thời trang - Phụ kiện,Thời trang bé gái,Giày dép bé gái,,,
1391,giày hở mũi nâu,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
1251,Dép nữ mika T114,Thời trang - Phụ kiện,Giày dép nữ,Giày dép nữ khác,,,
2051,Giày nữ WDQJI 201-2 xanh,Thời trang - Phụ kiện,Giày dép nữ,Giày dép nữ khác,,,
2191,Dép lê lưới,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
2731,Giay Dior cham bi,Thời trang - Phụ kiện,Giày dép nữ,Giày sneakers nữ,,,
3711,Giày RichEver Mũi Cách Điệu - Màu Đen,Thời trang - Phụ kiện,Giày dép nữ,Giày dép nữ khác,,,
5111,bệt(2) dù đầu người đá đen,Thời trang - Phụ kiện,Giày dép nữ,Giày dép nữ khác,,,
6131,Dép đế cao khuy tròn màu đen size 37 T-4,Thời trang - Phụ kiện,Giày dép nữ,Giày dép nữ khác,,,
7411,Nine West CG quai cườm xanh đen sz 37.5,Thời trang - Phụ kiện,Giày dép nữ,Giày dép nữ khác,,,
12531,Giay mọi nam,Thời trang - Phụ kiện,"Giày, dép nam",Giày sneakers nam,,,
5071,Sandal bít mũi Size 37,Thời trang - Phụ kiện,Giày dép nữ,"Giày, dép sandals nữ",,,
531,Sandan nơ 1767,Thời trang - Phụ kiện,Giày dép nữ,"Giày, dép sandals nữ",,,
2511,lê bệt quai be,Thời trang - Phụ kiện,Giày dép nữ,"Giày, dép sandals nữ",,,
2571,JINO - DÉP BN NƠ CARO VÀNG 37,Thời trang - Phụ kiện,Giày dép nữ,"Giày, dép sandals nữ",,,
8511,07-06 GV Dép Gót To Quai Mờ Trắng Size 36,Thời trang - Phụ kiện,Giày dép nữ,"Giày, dép sandals nữ",,,
2651,TT Biti's Hunter đỏ mận dây DN0924/DSUH00100,Thời trang - Phụ kiện,"Giày, dép nam",Giày sneakers nam,,,
5351,Hàng Chính hãng Nike Air Max Oketo Black/White **2019**,Thời trang - Phụ kiện,"Giày, dép nam",Giày sneakers nam,,,
5371,Pegasuss xám,Thời trang - Phụ kiện,"Giày, dép nam",Giày sneakers nam,,,
2691,air max 270 trắng xanh 40,Thời trang - Phụ kiện,"Giày, dép nam",Giày sneakers nam,,,
1791,Giày Gios Eppo - thể thao nữ da rắn đinh tán DU Vàng phối xanh,Thời trang - Phụ kiện,Giày dép nữ,Giày sneakers nữ,,,
2251,Skechers Slip on lưới đen sz 38,Thời trang - Phụ kiện,Giày dép nữ,Giày sneakers nữ,,,
10651,GỐI 30X40 CONTEMPORARY,Đồ gia dụng,Đồ dùng phòng ngủ,Gối và phụ kiện,,,
13471,Cầu gương 50,Đồ gia dụng,Trang trí nhà cửa,Trang trí nhà cửa khác,,,
18651,Chia Absolute Organic(1kg),Thực phẩm - Đồ uống,Thực phẩm khô,"Hạt, củ, quả khô",,,
12471,Hat e xk,Thực phẩm - Đồ uống,Thực phẩm khô,"Hạt, củ, quả khô",,,
12751,Bình ủ cháo LL,Đồ gia dụng,Đồ dùng phòng bếp,Hộp + Thùng đựng thực phẩm,,,
631,Bodysuit - gấu - sọc lam ngà,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
1491,set bodysuit,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
2831,body nỉ mũ tàn sao,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
11,Kem ốc quế loại 10k,Thực phẩm - Đồ uống,Sữa - Sản phẩm từ sữa,"Kem đóng gói, hộp",,,
3431,"Huyết thanh dạng Serum DR. SCHELLER chống nhăn, chống lão hóa",Sức khỏe - Làm đẹp,Chăm sóc da,Chống lão hóa,,,
371,kẹo yubi,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
8891,Play kẹo ngậm the dưa hấu,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
9191,kẹo dưa hấu play boy,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
9951,kẹo siêu dài đen,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
10291,Kẹo Nhật UHA CUCU 75g,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
10611,Kẹo dừa Đức 230g,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
10871,MILO CUBES SMALL,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
11371,keo xylitol 58g xanh duong,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
12551,Kẹo Chocolate Toffee (250g),Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
12991,Kẹo trái cây Love Lone 250g,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
15471,Kẹo Cocoa Bạc Hà Italy,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
18611,Kẹp hột,Đồ gia dụng,Đồ dùng phòng bếp,Kẹp gắp,,,
1011,Khăn vải đa năng Hà Anh,Đồ gia dụng,Đồ dùng nhà tắm,Khăn,,,
16631,khan,Đồ gia dụng,Đồ dùng nhà tắm,Khăn,,,
11791,Khay gỗ nhân hạt,Đồ gia dụng,Đồ dùng phòng ăn,Khay,,,
9511,Srm gạo,Sức khỏe - Làm đẹp,Chăm sóc da,Làm sạch da mặt,,,
4171,sữa rửa mặt gạo the face shop,Sức khỏe - Làm đẹp,Chăm sóc da,Làm sạch da mặt,,,
13131,"SRM Nivea sạch sâu, 50g",Sức khỏe - Làm đẹp,Chăm sóc da,Làm sạch da mặt,,,
13911,màn hình 640xl,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Linh kiện điện thoại,,,
13291,PIN LG G4,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Linh kiện điện thoại,,,
14751,PIN ZENPHONE,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Linh kiện điện thoại,,,
9091,190253Tú 0905357022-bình hoa thêu kín 31369-5f 540 nâu-,Đồ gia dụng,Trang trí nhà cửa,"Lọ, Bình hoa trang trí",,,
8871,Dây buộc tóc vòng xoắn ombre đủ màu set 10,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Lược, băng đô, lô quấn tóc",,,
9071,BỘ LƯỢC TRESEME,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Lược, băng đô, lô quấn tóc",,,
15171,Ống cuốn xốp 3 gọng,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Lược, băng đô, lô quấn tóc",,,
3471,Ly giấy màu đỏ (6),Đồ gia dụng,Đồ dùng phòng ăn,Ly dùng một lần,,,
10171,giấy bọc bạc 20,Đồ gia dụng,Đồ dùng phòng bếp,"Túi, màng đựng thực phẩm",,,
11811,Giấy bạc SAKURA lớn xịn,Đồ gia dụng,Đồ dùng phòng bếp,"Túi, màng đựng thực phẩm",,,
11831,Nhôm bọc thực phẩm Sakura,Đồ gia dụng,Đồ dùng phòng bếp,"Túi, màng đựng thực phẩm",,,
13451,CL Ipad Pro 12.9,Điện thoại - Máy tính bảng,Máy tính bảng,Máy tính bảng,,,
13751,DÁN CƯỜNG LỰC HỘP LG F180,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Miếng dán màn hình điện thoại,,,
14071,Kính oppo A83 trắng zin,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Miếng dán màn hình điện thoại,,,
12031,Set 15 móc phơi quần áo trẻ em,Đồ gia dụng,Đồ dùng nhà tắm,"Móc treo, kẹp quần áo",,,
18131,HỘP 10 NẾN TEALIGHT THƠM,Đồ gia dụng,Trang trí nhà cửa,Nến trang trí,,,
10031,Ngũ cốc Daily Óc chó,Thực phẩm - Đồ uống,Đồ uống - Pha chế,"Ngũ cốc, bột pha chế",,,
16471,cà phê gói,Thực phẩm - Đồ uống,Đồ uống - Pha chế,Cà phê,,,
11391,10k nhẫn,Thời trang - Phụ kiện,Trang sức nữ,Nhẫn nữ,,,
14231,Nồi áp suất Amecook ILPC1019(KM Sony),Đồ gia dụng,Đồ dùng phòng bếp,"Nồi, bộ nồi và phụ kiện",,,
3631,Mũ M vành to,Thời trang - Phụ kiện,Phụ kiện nữ,"Mũ, Nón nữ",,,
6531,Mũ lưỡi trai bò SS,Thời trang - Phụ kiện,Phụ kiện nam,"Mũ, nón nam",,,
16071,NÓN 1/2 RÙA,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Mũ nón Nam/Nữ,,,
19071,"Suft BG Nc hoa diệu kỳ 1,8kg",Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
591,Nước hoa hồng Muji Light Toning Water Moisture 200ml cho da thường,Sức khỏe - Làm đẹp,Chăm sóc da,"Nước hoa hồng, toner",,,
15711,TONER TRẮNG DA ESTHE DEW _500ML,Sức khỏe - Làm đẹp,Chăm sóc da,"Nước hoa hồng, toner",,,
16011,Nước hoa hồng Ohui Extreme White Skin Softener 150ml,Sức khỏe - Làm đẹp,Chăm sóc da,"Nước hoa hồng, toner",,,
5211,Nước Hoa Chanel No. 19 Edp Spray 100ml,Sức khỏe - Làm đẹp,Nước hoa,Nước hoa nữ,,,
11191,Nước hoa Coco Chanel Mademoiselle EDP 50ml,Sức khỏe - Làm đẹp,Nước hoa,Nước hoa nữ,,,
15291,Nước hoa Kilian Good girl gone bad,Sức khỏe - Làm đẹp,Nước hoa,Nước hoa nữ,,,
15371,ST nước hoa BEBECO Aroma Floral 750ml,Sức khỏe - Làm đẹp,Nước hoa,Nước hoa nữ,,,
16131,nuoc hoa gucci guilty intense pour home edt 90ml,Sức khỏe - Làm đẹp,Nước hoa,Nước hoa nữ,,,
4431,Gác đũa thìa,Đồ gia dụng,Đồ dùng phòng bếp,Ống đũa,,,
13211,ol dẻo hình in iP6 plus,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
13511,Ốp lưng kính viền màu iPhone 6/6S,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
13651,Ốp lưng 35000 OPPO A35/F1,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
13671,OP KT HEO DONG TIEN SS N8,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
13771,OP DA RAN POP DA IP6P DO,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14171,OP GAU THO IPXSMAX,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14591,OP TRANG GUONG IP7P VANG,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14631,Ốp IP 6 lưng trong hình kute,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
19371,Ốp Redmi 5 pro Giả Da Auto Forcus,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
7431,SOT PHO MAI,Thực phẩm - Đồ uống,Sữa - Sản phẩm từ sữa,"Phô mai, bơ",,,
9691,phô mai con bò cười gà nướng,Thực phẩm - Đồ uống,Sữa - Sản phẩm từ sữa,"Phô mai, bơ",,,
13351,MÀN BỘ IPHONE,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Linh kiện điện thoại,,,
431,"Comfort Gio Xuan Tui 1,6Lit",Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
931,"Downy cuon hut 1,5L",Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
9751,nước xả saffron hồng can 3L,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
10391,Surf hương nước xả vải,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
11211,bột giặt omo 800g hệ bọt thông minh,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
11491,Nước giặt Hi Class tím 3500L,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
12011,Nước Xả Vải Viking - Đỏ Đen,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
12951,NXV comfort đậm đặc ban mai 1.6l,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
13151,BG omo công nghệ TM hói 400g,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
13371,TINTIN TẨY QUẦN ÁO MÀU 300ML,Đồ gia dụng,Đồ dùng nhà tắm,Nước tẩy giặt ủi,,,
19151,Sạc dự phòng samsung đắt,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Pin sạc dự phòng,,,
651,Quần jean 572 R8QC,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
6891,Quần jean 6625 vẩy nhẹ xẻ đùi xẻ gối,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
7711,JEAN NGỌC TRAI MẢNG XANH NHẠT,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
8291,Quần jean kavo blue con ong,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
7111,bò thụng,Thời trang - Phụ kiện,Thời trang nam,Quần jeans nam,,,
15511,QUẦN KAKI SORT LINEN 036 ĐỎ 18,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
91,Leggin starbaby,Thời trang - Phụ kiện,Thời trang nữ,Quần legging nữ,,,
9231,Quần LE có gân legging,Thời trang - Phụ kiện,Thời trang nữ,Quần legging nữ,,,
3851,Quần lót Triumph Maxi 736 hipster màu da (5G-TL),Thời trang - Phụ kiện,Thời trang nữ,Quần lót nữ,,,
12931,quần lót nữ 12,Thời trang - Phụ kiện,Thời trang nữ,Quần lót nữ,,,
1291,Quần dài đen túi hộp,Thời trang - Phụ kiện,Thời trang nam,Quần nam khác,,,
5851,Baggy Boy Vá Đen,Thời trang - Phụ kiện,Thời trang nam,Quần nam khác,,,
1871,Jean đen ôm lưng cao 4 nút,Thời trang - Phụ kiện,Thời trang nữ,Quần jean nữ,,,
2371,BAGGY RACH NHIỀU 1 BÊN 5671,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
2931,Quần Loe Nude - S,Thời trang - Phụ kiện,Thời trang nữ,Quần nữ khác,,,
4251,7806 quần âu nam cạp+miệng túi phối vằn trg răng cưa,Thời trang - Phụ kiện,Thời trang nam,Quần tây nam,,,
6731,MEN SHORTS 800004 N - 31 (Kaki đai chun),Thời trang - Phụ kiện,Thời trang nam,Quần shorts nam,,,
2591,Sooc trắng chữ,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
3171,QUẦN SHORT LINEN KEM,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
7331,quần đủi chun eo kèm belt,Thời trang - Phụ kiện,Thời trang nữ,Quần nữ khác,,,
4551,Quần comple 1200,Thời trang - Phụ kiện,Thời trang nam,Quần tây nam,,,
2091,Quần Tây 2.287,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
9171,CẢI SẬY,Thực phẩm - Đồ uống,Thực phẩm tươi,Rau ăn thân,,,
12851,23- VIKODDA 20 LÍT,Thực phẩm - Đồ uống,Đồ uống có cồn,Rượu mạnh,,,
13071,Rượu Laderas de Cabama - TBN,Thực phẩm - Đồ uống,Đồ uống có cồn,Rượu mạnh,,,
18931,Vang trắng ĐL Classic,Thực phẩm - Đồ uống,Đồ uống có cồn,Rượu vang,,,
14271,CHÂN SẠC 7G,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,"Sạc điện thoại, máy tính bảng",,,
14611,Sạc chân kim xịn,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,"Sạc điện thoại, máy tính bảng",,,
12791,kem duong innisfree,Sức khỏe - Làm đẹp,Chăm sóc cơ thể,Sản phẩm chăm sóc cơ thể khác,,,
10811,Mặt nạ Gel than hoạt tính Purederm,Sức khỏe - Làm đẹp,Chăm sóc da,Mặt nạ dưỡng da,,,
10911,Mặt nạ SU:M sủi bọt đen,Sức khỏe - Làm đẹp,Chăm sóc da,Mặt nạ dưỡng da,,,
11891,mặt nạ bio,Sức khỏe - Làm đẹp,Chăm sóc da,Mặt nạ dưỡng da,,,
15251,Mặt nạ Innisfree - My Real Squeeze Mask - Cucumber - Dưa leo,Sức khỏe - Làm đẹp,Chăm sóc da,Mặt nạ dưỡng da,,,
